basalt	form	1	when basalt enters water passively , it forms pillow basalt	basalte	former	1	l éclogite , quant à elle , se formerait lorsque le plancher de basalte des océans , recyclé par la subduction , recristallise dans le manteau elle serait , par conséquent , moins abondante
basalt	form	2	because these lavas are more viscous stickier than basalt , they tend to form thicker flows that travel shorter distances from the vent; consequently , andesite and dacite lavas typically build tall cones with steep slopes of more than 20 degrees	basalte	former	2	par ailleurs , lorsqu elles parviennent en surface le long d une faille dans la lithosphère une dorsale océanique , par exemple , elles sont liquéfiées par la décompression et forment des épanchements de basaltes dont on connaît la composition chimique du silicium , de l aluminium , du magnésium , du calcium et du fer
basalt	form	3	where the melt forms from a subducted plate , basalt-magma blobs rise up against the underside of the continental crust	basalte	former	3	la faille de thingvellir , les labyrinthes de sables enchantés du landmannalaugar , les colonnes de basalte qui forment d interminables orgues pour le concert des dieux , les glaciers que déchirent des gorges bleues et vertigineuses , comme celle de fjadrargljufur , près de kirkjubaejarklaustur , les icebergs impassibles des fjords , les cônes massacrés des volcans , ces dalles d église que la nature a taillées , à l est du mont klaustur , entre les glaces et la mer
basalt	form	4	the large scale of the tharsis shield volcanoes suggests that they formed from massive eruptions of fluid basalt over prolonged periods of time	basalte	former	4	les fonds océaniques , qui représentent 60 % de la surface du globe , sont formés de basalte
basalt	form	5	massive fissure eruptions in the geological past have generated extraordinarily voluminous lava flows that form large continental flood basalt provinces	basalte	former	5	en effet , la roche-mère de ces diamants , l éclogite , se forme lorsque les basaltes du plancher océanique s enfoncent dans le manteau , sous les plaques continentales
basalt	form	6	whereas basalt forms a a and pahoehoe lava , andesite generally produces blocky lava , which contains smooth-sided , angular fragments blocks that are not as splintery or vesicular as a a lava fragments	basalte	former	6	elle a formé les grandes coulées de basalte qui couvrent les paysages que nous traversons
basalt	form	7	hall rested rocks in a hot iron foundry and showed that molten basalt forms crystals if cooled slowly	basalte	former		
basalt	form	8	the hexagonal columns of fingal s cave in scotland were formed by flood basalts , which can spill from fissures in the crust to form plateaus hundreds of feet deep	basalte	former		
basalt	form	9	since komatiites were discovered in 1969 , the prevailing theory held that they formed , like the basalt lavas common today , at shallow depths and low pressures	basalte	former		
basalt	form	10	23 catherine hickson above examines columns of basalt formed from cooling lava about 10,000 years ago near today s whistler , b.c	basalte	former		
basalt	form	11	almost all of the magma erupted from hawaii s volcanoes forms dark gray to black volcanic rock called basalt , generally in the form of lava flows and , less commonly , as fragmented lava such as volcanic bombs , cinders , pumice , and ash	basalte	former		
