basalt	form	where the melt forms from a subducted plate , basalt-magma blobs rise up against the underside of the continental crust	basalte	former	en effet , la roche-mère de ces diamants , l éclogite , se forme lorsque les basaltes du plancher océanique s enfoncent dans le manteau , sous les plaques continentales	forms	plaque|continental	
basalt	form	massive fissure eruptions in the geological past have generated extraordinarily voluminous lava flows that form large continental flood basalt provinces	basalte	former	en effet , la roche-mère de ces diamants , l éclogite , se forme lorsque les basaltes du plancher océanique s enfoncent dans le manteau , sous les plaques continentales	continental	
basalt	form	hall rested rocks in a hot iron foundry and showed that molten basalt forms crystals if cooled slowly	basalte	former	en effet , la roche-mère de ces diamants , l éclogite , se forme lorsque les basaltes du plancher océanique s enfoncent dans le manteau , sous les plaques continentales	forms	
basalt	make	on the other hand , if an oceanic plate made of dense basalt hits a low-density continental plate then the former will plunge underneath , pushing back into the hot , convecting mantle	basalte	former	les fonds océaniques , qui représentent 60 % de la surface du globe , sont formés de basalte	océanique	
basalt	make	on the other hand , if an oceanic plate made of dense basalt hits a low-density continental plate then the former will plunge underneath , pushing back into the hot , convecting mantle	basalte	former	en effet , la roche-mère de ces diamants , l éclogite , se forme lorsque les basaltes du plancher océanique s enfoncent dans le manteau , sous les plaques continentales	océanique|plaque|continental|plaque	
